dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
balance-scale,LinearModel,562,63,3,0.07109812647104263,0.1379793882369995,0.04847170040011406,0.9523809552192688,0.02169119007885456
balance-scale,NeuralNetFastAI,562,63,3,0.0015368082094937563,0.007645777892321348,0.007116253022104502,1.0,0.03379239607602358
balance-scale,NeuralNetTorch,562,63,3,0.0,0.0,5.960464477539063e-08,1.0,0.0218735383823514
balance-scale,RandomForest,562,63,3,0.04361265152692795,0.08341564983129501,0.044650278985500336,0.9841269850730896,0.0341367507353425
balance-scale,XGBoost,562,63,3,0.0033349385485053062,0.012740110047161579,0.011723799630999565,1.0,0.028713097795844078
baseball,CatBoost,1206,134,3,0.07365002483129501,0.13677671551704407,0.03922022134065628,0.9552238583564758,0.0316130667924881
baseball,ExtraTrees,1206,134,3,0.07477562874555588,0.13653287291526794,0.039200231432914734,0.9552238583564758,0.02798028476536274
baseball,LightGBM,1206,134,3,0.07410494983196259,0.13328708708286285,0.03844178467988968,0.9552238583564758,0.030032984912395477
baseball,LinearModel,1206,134,3,0.06778550148010254,0.12714552879333496,0.033095311373472214,0.9552238583564758,0.030238264240324497
baseball,NeuralNetFastAI,1206,134,3,0.07380028069019318,0.12692448496818542,0.0444662906229496,0.9477611780166626,0.026147804223001003
baseball,NeuralNetTorch,1206,134,3,0.0745217502117157,0.13569599390029907,0.040817707777023315,0.9552238583564758,0.032824477180838585
baseball,RandomForest,1206,134,3,0.07568327337503433,0.14242127537727356,0.030190981924533844,0.9477611780166626,0.02204741444438696
baseball,XGBoost,1206,134,3,0.07330728322267532,0.13524229824543,0.044326622039079666,0.9552238583564758,0.028343435376882553
car,CatBoost,1555,173,4,1.1660366681098822e-06,5.835826596012339e-05,5.811452865600586e-05,1.0,0.043931370601058006
car,ExtraTrees,1555,173,4,0.007853951305150986,0.011555694043636322,0.008096461184322834,0.9942196607589722,0.09754555020481348
car,LightGBM,1555,173,4,3.967677152539456e-13,3.376437973656721e-08,5.960464477539063e-08,1.0,0.026586738415062428
car,LinearModel,1555,173,4,0.08484864979982376,0.14247016608715057,0.03941918537020683,0.9248554706573486,0.09922436531633139
car,NeuralNetFastAI,1555,173,4,3.231675655703502e-14,1.0336057343351968e-08,5.960464477539063e-08,1.0,0.016019584611058235
car,NeuralNetTorch,1555,173,4,6.549473141603812e-08,2.3996335585252382e-05,2.4080276489257812e-05,1.0,0.010699172504246235
car,RandomForest,1555,173,4,0.03119708225131035,0.05099090561270714,0.015736032277345657,0.9826589822769165,0.07366758771240711
car,XGBoost,1555,173,4,2.1508056153729044e-36,0.0,5.960464477539063e-08,1.0,0.03357615042477846
cardiotocography,CatBoost,1913,213,10,1.0193300196970068e-11,1.5430003941219184e-06,5.960464477539062e-07,1.0,0.013359026983380318
cardiotocography,ExtraTrees,1913,213,10,1.059389641983044e-11,1.3510344842870836e-06,8.344650268554688e-07,1.0,0.02921558916568756
cardiotocography,LightGBM,1913,213,10,1.461501926425246e-11,2.9763079965050565e-06,1.1920928955078125e-06,1.0,0.009058539755642414
cardiotocography,LinearModel,1913,213,10,1.2902219570509743e-10,2.685801973711932e-06,2.384185791015625e-06,1.0,0.008858496323227882
cardiotocography,NeuralNetFastAI,1913,213,10,0.00013339772704057395,0.0006055942503735423,0.0005684078205376863,1.0,0.004114449955523014
cardiotocography,NeuralNetTorch,1913,213,10,1.1367329603648169e-12,1.0213937002845341e-06,5.960464477539063e-08,1.0,0.0045429375022649765
cardiotocography,RandomForest,1913,213,10,1.8982823125901493e-12,4.2310827552682895e-07,5.960464477539063e-08,1.0,0.07888087350875139
cardiotocography,XGBoost,1913,213,10,9.917913018631097e-11,4.82205587104545e-06,4.351139068603516e-06,1.0,0.013747075572609901
cmc,CatBoost,1325,148,3,0.49360987544059753,0.8311154246330261,0.0709720179438591,0.6013513803482056,0.021868815645575523
cmc,ExtraTrees,1325,148,3,0.5055724382400513,0.8532155752182007,0.06810838729143143,0.587837815284729,0.02224278450012207
cmc,LightGBM,1325,148,3,0.5196675658226013,0.8726345896720886,0.052406057715415955,0.5810810923576355,0.02729298360645771
cmc,LinearModel,1325,148,3,0.5188735723495483,0.8625272512435913,0.12252028286457062,0.6081081032752991,0.02452954836189747
cmc,NeuralNetFastAI,1325,148,3,0.5006341934204102,0.8412874341011047,0.08576942980289459,0.587837815284729,0.019881635904312134
cmc,NeuralNetTorch,1325,148,3,0.5044633746147156,0.8505582809448242,0.11457698792219162,0.6486486196517944,0.023387624882161617
cmc,RandomForest,1325,148,3,0.5045869946479797,0.8467625975608826,0.07630030065774918,0.5743243098258972,0.016528562642633915
