dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
car,NeuralNetFastAI,1555,173,4,4.5222346209318614e-08,0.00016114313624932496,0.00016194581985473633,1.0,0.025278128683567047
car,NeuralNetTorch,1555,173,4,4.5222346209318614e-08,0.00016114313624932496,0.00016194581985473633,1.0,0.02482779510319233
car,RandomForest,1555,173,4,0.030661283114563072,0.05529058230528336,0.016365038231015205,0.9826589822769165,0.06738344952464104
car,XGBoost,1555,173,4,4.0409106450545467e-05,0.0009001981917322007,0.0008898377418518066,1.0,0.04363700654357672
cardiotocography,CatBoost,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.06323896814137697
cardiotocography,ExtraTrees,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.06132256332784891
cardiotocography,LightGBM,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.06208564154803753
cardiotocography,LinearModel,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.062017892487347126
cardiotocography,NeuralNetFastAI,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.05979770515114069
cardiotocography,NeuralNetTorch,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.061200003139674664
cardiotocography,RandomForest,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.061528898775577545
cardiotocography,XGBoost,1913,213,10,1.1200804132278886e-07,0.0003124261580198854,0.0003140568733215332,1.0,0.0629772124812007
cmc,CatBoost,1325,148,3,0.4944845813403271,0.8338004575873303,0.06940969079732895,0.5945945978164673,0.03358729649335146
cmc,ExtraTrees,1325,148,3,0.5057969645192301,0.8546544124420886,0.09921135008335114,0.5945945978164673,0.037390981800854206
cmc,LightGBM,1325,148,3,0.5212104465009942,0.8760676449204293,0.06702675670385361,0.5743243098258972,0.04532398656010628
cmc,LinearModel,1325,148,3,0.5232758236658551,0.8708628122808608,0.08470673114061356,0.6013513803482056,0.04585208557546139
cmc,NeuralNetFastAI,1325,148,3,0.5005262416924897,0.8412404530773024,0.07200787961483002,0.5810810923576355,0.03450281359255314
cmc,NeuralNetTorch,1325,148,3,0.5045350574831613,0.850902395996916,0.12002275139093399,0.6486486196517944,0.03987227752804756
cmc,RandomForest,1325,148,3,0.50448737007123,0.8468788009407959,0.06543463468551636,0.5810810923576355,0.04446886479854584
cmc,XGBoost,1325,148,3,0.5006828641386154,0.8463097310748853,0.07930184155702591,0.5810810923576355,0.04301167465746403
cnae-9,CatBoost,972,108,9,0.06972826370573287,0.1684661919293353,0.04186255484819412,0.9537037014961243,0.09435822069644928
cnae-9,ExtraTrees,972,108,9,0.0618142675426276,0.14517922817767678,0.040516823530197144,0.9537037014961243,0.10464008897542953
cnae-9,LightGBM,972,108,9,0.04843681068544979,0.11942899399900613,0.05504650995135307,0.9722222089767456,0.08046420942991972
cnae-9,LinearModel,972,108,9,0.05997086123057174,0.1307365100453915,0.0375213585793972,0.9537037014961243,0.0821714187040925
cnae-9,NeuralNetFastAI,972,108,9,0.05059986283434194,0.10650917590414741,0.0310668908059597,0.9629629850387573,0.08846640400588512
cnae-9,NeuralNetTorch,972,108,9,0.05466149053139571,0.12585776185015973,0.04730046167969704,0.9722222089767456,0.08026745449751616
cnae-9,RandomForest,972,108,9,0.06854038914573311,0.1684553059381816,0.05486997216939926,0.9444444179534912,0.10476770158857107
cnae-9,XGBoost,972,108,9,0.0826482918658775,0.17949212538733672,0.048338115215301514,0.9351851940155029,0.07707022968679667
collins,CatBoost,900,100,30,0.801289250463553,2.0892382873943403,0.07387157529592514,0.28999999165534973,2.021436615847051
