dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
mfeat-factors,NeuralNetFastAI,1800,200,10,0.02682328410446644,0.04983467608690262,0.023485567420721054,0.9800000190734863,0.031056327745318413
mfeat-factors,NeuralNetTorch,1800,200,10,0.02979922853410244,0.06254567950963974,0.014447491616010666,0.9850000143051147,0.030876665376126766
mfeat-factors,RandomForest,1800,200,10,0.05203167349100113,0.10761042684316635,0.030711356550455093,0.9750000238418579,0.035798558965325356
mfeat-factors,XGBoost,1800,200,10,0.043785762041807175,0.10543360561132431,0.02045455388724804,0.9800000190734863,0.033887164667248726
micro-mass,CatBoost,513,58,20,0.05407888814806938,0.10481156408786774,0.04821838065981865,0.9655172228813171,0.012227755971252918
micro-mass,ExtraTrees,513,58,20,0.09102663397789001,0.1665147840976715,0.06700224429368973,0.9482758641242981,0.012597506865859032
micro-mass,LightGBM,513,58,20,0.09968741238117218,0.16688692569732666,0.044858843088150024,0.931034505367279,0.011709686368703842
micro-mass,LinearModel,513,58,20,0.08671153336763382,0.15893173217773438,0.050792403519153595,0.931034505367279,0.011745274998247623
micro-mass,NeuralNetFastAI,513,58,20,0.2003762274980545,0.43457505106925964,0.09798099100589752,0.8448275923728943,0.012274145148694515
micro-mass,NeuralNetTorch,513,58,20,0.07027699798345566,0.15162347257137299,0.037306297570466995,0.9482758641242981,0.010528328828513622
micro-mass,RandomForest,513,58,20,0.11193165928125381,0.19033510982990265,0.06653477996587753,0.9137930870056152,0.011643976904451847
micro-mass,XGBoost,513,58,20,0.12010715901851654,0.23211373388767242,0.058352600783109665,0.9137930870056152,0.012507044710218906
microaggregation2,CatBoost,18000,2000,5,0.4814685583114624,0.9070608615875244,0.02395930141210556,0.6380000114440918,0.18985297996550798
microaggregation2,ExtraTrees,18000,2000,5,0.4910261034965515,0.9310078620910645,0.018235381692647934,0.6259999871253967,0.19982114899903536
microaggregation2,LightGBM,18000,2000,5,0.4772275388240814,0.8942914605140686,0.02251548320055008,0.637499988079071,0.1917088534682989
microaggregation2,LinearModel,18000,2000,5,0.5534575581550598,1.0440433025360107,0.021320544183254242,0.5835000276565552,0.1948135606944561
microaggregation2,NeuralNetFastAI,18000,2000,5,0.4573286771774292,0.8573942184448242,0.017513560131192207,0.652999997138977,0.2122841738164425
microaggregation2,NeuralNetTorch,18000,2000,5,0.46611395478248596,0.8727717399597168,0.027914006263017654,0.6455000042915344,0.2143700635060668
microaggregation2,RandomForest,18000,2000,5,0.49398306012153625,0.9343946576118469,0.02548128552734852,0.6340000033378601,0.174145576544106
microaggregation2,XGBoost,18000,2000,5,0.47986701130867004,0.9005728960037231,0.019829154014587402,0.6309999823570251,0.193989890627563
okcupid-stem,CatBoost,45710,5079,3,0.33589795231819153,0.5626908540725708,0.010293982923030853,0.7625516653060913,0.2651102552190423
okcupid-stem,ExtraTrees,45710,5079,3,0.3549567759037018,0.5901022553443909,0.01204298809170723,0.7456192374229431,0.2912657596170902
okcupid-stem,LightGBM,45710,5079,3,0.33910703659057617,0.5653319358825684,0.017565572634339333,0.758417010307312,0.3153327973559499
okcupid-stem,LinearModel,45710,5079,3,0.3448801636695862,0.5758188962936401,0.01679152064025402,0.7566450238227844,0.2840060703456402
okcupid-stem,NeuralNetFastAI,45710,5079,3,0.3419664204120636,0.5696700215339661,0.015358672477304935,0.7582201361656189,0.28447667323052883
okcupid-stem,NeuralNetTorch,45710,5079,3,0.3374180793762207,0.5636900067329407,0.014766382053494453,0.7629454731941223,0.29059980995953083
okcupid-stem,RandomForest,45710,5079,3,0.3542535603046417,0.5889583826065063,0.01346219889819622,0.7460129857063293,0.2544718459248543
okcupid-stem,XGBoost,45710,5079,3,0.3389149308204651,0.5657229423522949,0.013464387506246567,0.7599921226501465,0.27857042476534843
optdigits,CatBoost,5058,562,10,0.021808547899127007,0.048772018402814865,0.007584546227008104,0.9857650995254517,0.06801823806017637
optdigits,ExtraTrees,5058,562,10,0.023726848885416985,0.05339422821998596,0.009721968322992325,0.9839857816696167,0.07377147395163774
optdigits,LightGBM,5058,562,10,0.018029509112238884,0.041797537356615067,0.0050710150972008705,0.9893238544464111,0.07026193290948868
optdigits,LinearModel,5058,562,10,0.05299675837159157,0.09462577849626541,0.017194481566548347,0.9679715037345886,0.0810445211827755
optdigits,NeuralNetFastAI,5058,562,10,0.019345933571457863,0.03859715163707733,0.008804106153547764,0.9911032319068909,0.06762822903692722
optdigits,NeuralNetTorch,5058,562,10,0.013330476358532906,0.030943989753723145,0.009194085374474525,0.9928825497627258,0.07308118231594563
optdigits,RandomForest,5058,562,10,0.042367711663246155,0.08304008096456528,0.01149780210107565,0.9697508811950684,0.07623924128711224
optdigits,XGBoost,5058,562,10,0.029231732711195946,0.057572007179260254,0.00911344587802887,0.9804270267486572,0.07065633125603199
page-blocks,CatBoost,4925,548,5,0.04323762282729149,0.08752818405628204,0.007919742725789547,0.970802903175354,0.05536795686930418
page-blocks,ExtraTrees,4925,548,5,0.04272622615098953,0.0972186028957367,0.010851479135453701,0.9726277589797974,0.06085632182657719
page-blocks,LightGBM,4925,548,5,0.04203219339251518,0.08602327853441238,0.01178385317325592,0.970802903175354,0.05243241507560015
page-blocks,LinearModel,4925,548,5,0.0462203286588192,0.09854068607091904,0.01629532128572464,0.9671533107757568,0.06394446827471256
page-blocks,NeuralNetFastAI,4925,548,5,0.050002019852399826,0.10214123129844666,0.013892065733671188,0.9689781069755554,0.06917055603116751
page-blocks,NeuralNetTorch,4925,548,5,0.0372559018433094,0.08335361629724503,0.011720860376954079,0.9762773513793945,0.05522344447672367
page-blocks,RandomForest,4925,548,5,0.04098670184612274,0.09297005832195282,0.010927822440862656,0.970802903175354,0.05798881873488426
